# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.4,       15000.0,       42.0,            17959.2,         8351.4,           4166.5,           18.41
        0.4,       15000.0,       46.0,            20182.2,         8827.3,           4942.1,           20.28
        0.4,       15000.0,       48.0,            21272.7,         9044.6,           5364.6,          24.607
        0.4,       15000.0,       50.0,            22355.5,         9253.8,           5792.4,          36.891
        0.4,       20000.0,       21.0,             4204.2,         3671.1,            533.0,          11.344
        0.4,       20000.0,       22.0,             4763.2,         3910.2,            655.9,          8.3987
        0.4,       20000.0,       24.0,             5814.2,         4321.4,            892.7,          5.1322
        0.4,       20000.0,       26.0,             6808.5,         4676.0,           1119.9,          6.6187
        0.4,       20000.0,       30.0,             8893.2,         5339.0,           1638.7,          9.2928
        0.4,       20000.0,       34.0,            10865.4,         5889.5,           2181.2,          12.258
        0.4,       20000.0,       38.0,            12769.1,         6371.6,           2734.1,           14.37
        0.4,       20000.0,       42.0,            14619.4,         6800.2,           3321.2,           16.28
        0.4,       20000.0,       46.0,            16429.0,         7188.1,           3935.2,          18.048
        0.4,       20000.0,       48.0,            17317.4,         7365.4,           4270.7,          18.955
        0.4,       20000.0,       50.0,            18198.2,         7535.7,           4608.9,          19.817
       0.45,        5000.0,       21.0,             9134.3,         8186.4,           1052.9,          6.2594
       0.45,        5000.0,       22.0,            10153.5,         8637.0,           1297.4,          7.5048
       0.45,        5000.0,       24.0,            12077.2,         9423.1,           1777.2,          9.5637
       0.45,        5000.0,       26.0,            13900.8,        10109.4,           2237.9,          11.895
       0.45,        5000.0,       30.0,            17726.1,        11407.1,           3263.8,           15.21
       0.45,        5000.0,       34.0,            21336.8,        12490.1,           4347.5,          18.009
       0.45,        5000.0,       38.0,            24813.0,        13438.6,           5462.2,           20.42
       0.45,        5000.0,       42.0,            28188.8,        14287.0,           6626.4,           34.59
